time,l_q0,l_q1,l_q2,l_q3,l_q4,l_q5,l_q6,r_q0,r_q1,r_q2,r_q3,r_q4,r_q5,r_q6,l_pose,r_pose
0.0,-0.08091852673401981,-0.24775950330261676,0.10620089404958528,-2.092203180419179,-0.3052185566614668,0.5304453036450458,0.30433663163808167,0.07968097391153103,0.24340661280437,-0.2364380635616306,-2.2683817016563426,0.15295405704502393,0.6532431125175622,-0.30690801557608516,,"[[0.04743247496033398, -0.03711509494188571, -0.998184667306903, 0.3042650520801544], [-0.189415233197131, 0.98084364197985, -0.045471083345142785, -0.21670621633529663], [0.9807507480252127, 0.19122818755392534, 0.03949367712466101, -0.11037015914916992], [0.0, 0.0, 0.0, 1.0]]"
0.004010438919067383,-0.07812206133299432,-0.24807967119265387,0.10422651676332101,-2.0971797171935007,-0.2979069620846555,0.5340650824485946,0.295746603933035,0.07320940175153186,0.24151553421766855,-0.23897247273452482,-2.2717734024727196,0.1590892299210811,0.6690335750824499,-0.31737832881487266,"[[-0.004766808270481426, 0.3337806725780974, -0.9426387113588246, 0.3435858190059662], [0.12236905607694144, 0.9357596371052401, 0.3307260432435096, 0.1446363776922226], [0.9924732196153965, -0.11377330169236706, -0.04530501261744441, -0.11520004272460938], [0.0, 0.0, 0.0, 1.0]]","[[0.04743247496033398, -0.03711509494188571, -0.998184667306903, 0.3042650520801544], [-0.189415233197131, 0.98084364197985, -0.045471083345142785, -0.21670621633529663], [0.9807507480252127, 0.19122818755392534, 0.03949367712466101, -0.11037015914916992], [0.0, 0.0, 0.0, 1.0]]"
0.007946491241455078,-0.07641834250946569,-0.24832375564835354,0.1029514888790694,-2.1001819663881753,-0.2933874133338192,0.5362154047945613,0.2904374698188927,0.06897804451810663,0.240186664212075,-0.2407048348547729,-2.2716787273557606,0.1631365561106793,0.6787430065550062,-0.32412412105211963,"[[-0.004766808270481426, 0.3337806725780974, -0.9426387113588246, 0.3435858190059662], [0.12236905607694144, 0.9357596371052401, 0.3307260432435096, 0.1446363776922226], [0.9924732196153965, -0.11377330169236706, -0.04530501261744441, -0.11520004272460938], [0.0, 0.0, 0.0, 1.0]]","[[0.04743247496033398, -0.03711509494188571, -0.998184667306903, 0.3042650520801544], [-0.189415233197131, 0.98084364197985, -0.045471083345142785, -0.21670621633529663], [0.9807507480252127, 0.19122818755392534, 0.03949367712466101, -0.11037015914916992], [0.0, 0.0, 0.0, 1.0]]"
0.012058019638061523,-0.07628916440843317,-0.248360124269135,0.10287537299853654,-2.1003397627911364,-0.29313942547474253,0.5362180516858137,0.29013253290311064,0.0690248524360065,0.24023886685830706,-0.24069153596411816,-2.2716794695824327,0.16314448476554705,0.6786815511990261,-0.3240701572756812,"[[-0.004766808270481426, 0.3337806725780974, -0.9426387113588246, 0.3435858190059662], [0.12236905607694144, 0.9357596371052401, 0.3307260432435096, 0.1446363776922226], [0.9924732196153965, -0.11377330169236706, -0.04530501261744441, -0.11520004272460938], [0.0, 0.0, 0.0, 1.0]]","[[0.04743247496033398, -0.03711509494188571, -0.998184667306903, 0.3042650520801544], [-0.189415233197131, 0.98084364197985, -0.045471083345142785, -0.21670621633529663], [0.9807507480252127, 0.19122818755392534, 0.03949367712466101, -0.11037015914916992], [0.0, 0.0, 0.0, 1.0]]"
0.016096115112304688,-0.07530065395996338,-0.24852429889994848,0.10208830276358537,-2.102091592074088,-0.29045615696522115,0.5375021884108144,0.2869873829228748,0.06633586637127181,0.23938372618091358,-0.24184677835547166,-2.271641770889178,0.16576996126261495,0.6845964312504234,-0.32830915272678735,"[[-0.004766808270481426, 0.3337806725780974, -0.9426387113588246, 0.3435858190059662], [0.12236905607694144, 0.9357596371052401, 0.3307260432435096, 0.1446363776922226], [0.9924732196153965, -0.11377330169236706, -0.04530501261744441, -0.11520004272460938], [0.0, 0.0, 0.0, 1.0]]","[[0.04743247496033398, -0.03711509494188571, -0.998184667306903, 0.3042650520801544], [-0.189415233197131, 0.98084364197985, -0.045471083345142785, -0.21670621633529663], [0.9807507480252127, 0.19122818755392534, 0.03949367712466101, -0.11037015914916992], [0.0, 0.0, 0.0, 1.0]]"
0.02000117301940918,-0.07530065395996338,-0.24852429889994848,0.10208830276358537,-2.102091592074088,-0.29045615696522115,0.5375021884108144,0.2869873829228748,0.06460155171385655,0.23877494430875765,-0.24261295470117167,-2.2716265717843394,0.1674342551690477,0.6882535139697143,-0.33101273536494624,"[[-0.004766808270481426, 0.3337806725780974, -0.9426387113588246, 0.3435858190059662], [0.12236905607694144, 0.9357596371052401, 0.3307260432435096, 0.1446363776922226], [0.9924732196153965, -0.11377330169236706, -0.04530501261744441, -0.11520004272460938], [0.0, 0.0, 0.0, 1.0]]","[[0.04743247496033398, -0.03711509494188571, -0.998184667306903, 0.3042650520801544], [-0.189415233197131, 0.98084364197985, -0.045471083345142785, -0.21670621633529663], [0.9807507480252127, 0.19122818755392534, 0.03949367712466101, -0.11037015914916992], [0.0, 0.0, 0.0, 1.0]]"
0.023973941802978516,-0.07469778667476663,-0.2486393613807579,0.10158825718610451,-2.1031517320291115,-0.2888107237419324,0.5382741268903448,0.2850614981060967,0.06351172317668642,0.23840096598034646,-0.24311987076848207,-2.271620618537613,0.16849769374180684,0.6904819628659515,-0.3326848453809948,"[[0.0023622976248614536, 0.33918070820794555, -0.9407182717102334, 0.3431888222694397], [0.11669301012238799, 0.9342003859406145, 0.33712368694142997, 0.14442934095859528], [0.9931652233835557, -0.11057163328794385, -0.03737315846337641, -0.11467325687408447], [0.0, 0.0, 0.0, 1.0]]","[[0.06993364234929261, -0.025812583248706764, -0.9972176273079962, 0.30503273010253906], [-0.17117541131668013, 0.984527093255755, -0.03748841428947078, -0.2167891412973404], [0.9827554447716516, 0.17332083888385208, 0.06443308606819326, -0.10957884788513184], [0.0, 0.0, 0.0, 1.0]]"
0.02798008918762207,-0.07505446830686428,-0.24714354437826788,0.10122866089644927,-2.105048879992713,-0.29157335348955704,0.5430990620946501,0.28659540667684946,0.05893113662779741,0.23485458825791272,-0.24250092929559117,-2.2729766672484626,0.1652728544049294,0.7078330657264975,-0.3272997096693059,"[[0.0023622976248614536, 0.33918070820794555, -0.9407182717102334, 0.3431888222694397], [0.11669301012238799, 0.9342003859406145, 0.33712368694142997, 0.14442934095859528], [0.9931652233835557, -0.11057163328794385, -0.03737315846337641, -0.11467325687408447], [0.0, 0.0, 0.0, 1.0]]","[[0.06993364234929261, -0.025812583248706764, -0.9972176273079962, 0.30503273010253906], [-0.17117541131668013, 0.984527093255755, -0.03748841428947078, -0.2167891412973404], [0.9827554447716516, 0.17332083888385208, 0.06443308606819326, -0.10957884788513184], [0.0, 0.0, 0.0, 1.0]]"
0.031969308853149414,-0.07529177335900655,-0.24623547051946273,0.10102898713983652,-2.106203243065844,-0.29327160973283173,0.5460239210524254,0.28756741404830266,0.05589198988147358,0.2326543021729801,-0.24205115070495462,-2.272898370929991,0.16315224476197152,0.7184784557800716,-0.32391415666155343,"[[0.0023622976248614536, 0.33918070820794555, -0.9407182717102334, 0.3431888222694397], [0.11669301012238799, 0.9342003859406145, 0.33712368694142997, 0.14442934095859528], [0.9931652233835557, -0.11057163328794385, -0.03737315846337641, -0.11467325687408447], [0.0, 0.0, 0.0, 1.0]]","[[0.06993364234929261, -0.025812583248706764, -0.9972176273079962, 0.30503273010253906], [-0.17117541131668013, 0.984527093255755, -0.03748841428947078, -0.2167891412973404], [0.9827554447716516, 0.17332083888385208, 0.06443308606819326, -0.10957884788513184], [0.0, 0.0, 0.0, 1.0]]"
0.03597545623779297,-0.07544581066981938,-0.24568412749637705,0.1009185845590201,-2.106907116228968,-0.2943108933541619,0.547797519006624,0.2881768691038243,0.05389410135167148,0.23129414104266863,-0.24173549533237776,-2.2728650011155263,0.1617802394299273,0.7250197275256265,-0.32179950779951266,"[[0.0023622976248614536, 0.33918070820794555, -0.9407182717102334, 0.3431888222694397], [0.11669301012238799, 0.9342003859406145, 0.33712368694142997, 0.14442934095859528], [0.9931652233835557, -0.11057163328794385, -0.03737315846337641, -0.11467325687408447], [0.0, 0.0, 0.0, 1.0]]","[[0.06993364234929261, -0.025812583248706764, -0.9972176273079962, 0.30503273010253906], [-0.17117541131668013, 0.984527093255755, -0.03748841428947078, -0.2167891412973404], [0.9827554447716516, 0.17332083888385208, 0.06443308606819326, -0.10957884788513184], [0.0, 0.0, 0.0, 1.0]]"
