time,l_q0,l_q1,l_q2,l_q3,l_q4,l_q5,l_q6,r_q0,r_q1,r_q2,r_q3,r_q4,r_q5,r_q6,l_pose,r_pose
0.0,-0.051180884030924655,0.0754807365029492,0.10267728754351668,-1.7263703891420492,0.060792135777116486,0.2631252861043285,0.3147144444590313,-0.05118086410745956,-0.0754809294501296,-0.10267732687560915,-1.7263702551314122,-0.06078933722058507,0.2631249714867577,-0.3147163111962854,,
0.003996610641479492,-0.051180883580489334,0.07548074086193499,0.10267728382915942,-1.726370389142051,0.06079213915130865,0.2631252863320528,0.3147144483338293,-0.05118086354523661,-0.07548093489092932,-0.10267732223941817,-1.726370255131419,-0.06078934143219229,0.2631249717709968,-0.3147163160327292,,
0.007989645004272461,-0.05118088731673589,0.07548070470576837,0.10267731463809127,-1.7263703891419748,0.06079211116429604,0.2631252844431789,0.3147144161935829,-0.05118087089021932,-0.07548086381242909,-0.10267738280592154,-1.726370255131191,-0.060789286413210776,0.2631249680577068,-0.3147162528490232,,
0.011995553970336914,-0.05118089067187598,0.07548067223765303,0.10267734230439651,-1.7263703891419038,0.06079208603208008,0.2631252827469774,0.31471438733174056,-0.0511808700936843,-0.07548087152070856,-0.1026773762375901,-1.7263702551312046,-0.06078929237999283,0.2631249684604045,-0.31471625970109074,,
0.01599287986755371,-0.051180890007546546,0.07548067866653341,0.10267733682625835,-1.726370389141908,0.06079209100851394,0.26312528308283784,0.3147143930465199,-0.051180873167054,-0.07548084177930145,-0.10267740158043437,-1.7263702551311038,-0.06078926935843162,0.2631249669066525,-0.3147162332630864,,
0.01999068260192871,-0.05118089304121698,0.07548064930934756,0.10267736184170739,-1.7263703891418412,0.060792068284366695,0.2631252815491591,0.31471436695006244,-0.05118087613073389,-0.07548081309937996,-0.10267742601878216,-1.7263702551310072,-0.06078924715851631,0.26312496540835467,-0.3147162077686693,,
0.023995399475097656,-0.05118089597689346,0.07548062090046107,0.1026773860491077,-1.7263703891417772,0.06079204629425015,0.26312528006502184,0.31471434169657864,-0.051180878988191875,-0.0754807854473854,-0.10267744958122837,-1.7263702551309144,-0.06078922575427221,0.26312496396375806,-0.31471618318800726,,
0.02797389030456543,-0.051180898817121595,0.07548059341524044,0.10267740946944848,-1.726370389141716,0.06079202501909839,0.26312527862913815,0.3147143172641699,-0.05118088174281032,-0.07548075879058724,-0.10267747229566226,-1.7263702551308249,-0.06078920512036541,0.26312496257115275,-0.31471615949200454,,
0.03199410438537598,-0.05118090156441782,0.07548056682933571,0.10267743212347802,-1.726370389141657,0.06079200444006559,0.26312527724023776,0.3147142936311904,-0.05118088439788647,-0.07548073309707683,-0.10267749418927319,-1.726370255130739,-0.060789185232097115,0.26312496122887213,-0.31471613665229736,,
0.03597855567932129,-0.051180904221266865,0.07548054111870345,0.10267745403168305,-1.7263703891416002,0.060791984538540726,0.2631252758970633,0.31471427077626674,-0.05118088805744265,-0.07548069768301979,-0.10267752436586775,-1.7263702551306295,-0.06078915781946446,0.2631249593787702,-0.31471610517174803,,
0.03997397422790527,-0.05118090679011941,0.07548051625962726,0.10267747521427206,-1.7263703891415454,0.06079196529617006,0.26312527459837726,0.3147142486783158,-0.05118089056801879,-0.0754806733878668,-0.10267754506792937,-1.7263702551305482,-0.06078913901360466,0.2631249581095433,-0.3147160835750813,,
