time,l_q0,l_q1,l_q2,l_q3,l_q4,l_q5,l_q6,r_q0,r_q1,r_q2,r_q3,r_q4,r_q5,r_q6,l_pose,r_pose,l_real_pose,r_real_pose
0.0039563179016113,-0.6951657408162157,0.2574240724079432,0.1499977617906703,-1.1459113422193026,-0.115775387438561,0.2914123607566053,0.386351713052279,-0.7023132474798914,-0.2605975178236928,-0.1527029275894172,-1.15050682896062,0.1231172396427484,0.3037080203279481,-0.3892698860450787,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19554583141774667], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17415663020765265], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.1955458314177467], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17415663020765268], [0.0, 0.0, 0.0, 1.0]]","[[-0.043144984610957005, 0.010245560872534294, -0.9990162855456002, 0.5544196973009307], [-0.0030938347253609195, 0.9999412502197855, 0.010388661876549233, 0.2864729301154732], [0.9990640312260337, 0.0035390099322142082, -0.04311075178058549, -0.08048515271758319], [0.0, 0.0, 0.0, 1.0]]","[[-0.04200605641758365, -0.011770801272063713, -0.9990480165946264, 0.554537211276069], [0.002281062542374028, 0.9999268633586456, -0.011877065606401453, -0.2866505916993736], [0.9991147521570888, -0.002777799696624909, -0.041976134301825174, -0.07562706032632704], [0.0, 0.0, 0.0, 1.0]]"
0.0079607963562011,-0.6950505156266052,0.2573088472183326,0.1499401021395666,-1.1458536825681986,-0.1157153384850265,0.2914152525424583,0.386310910411757,-0.7022326557259819,-0.2604937116291865,-0.1526107286152094,-1.1504376562018148,0.1231172396427484,0.3037080203279481,-0.3892698860450787,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19403106119349733], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.1729538558086437], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.19403106119349736], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17295385580864375], [0.0, 0.0, 0.0, 1.0]]","[[-0.04294832014620015, 0.01025031665628108, -0.9990247108080288, 0.5544189861447872], [-0.003083014515086262, 0.999941246249078, 0.010392260165157926, 0.28644035452587613], [0.9990725383164725, 0.0035263378009668133, -0.042914194896260305, -0.08059493114426218], [0.0, 0.0, 0.0, 1.0]]","[[-0.04180449002879599, -0.011851292946039944, -0.9990555197129637, 0.5545426529320585], [0.002271594867483945, 0.9999259361961605, -0.011956670899153973, -0.2866027563152065], [0.9991232278704117, -0.00276929192029275, -0.041774472493017634, -0.07572633267672393], [0.0, 0.0, 0.0, 1.0]]"
0.011948823928833,-0.6946932955792066,0.256951627170934,0.1497789186317476,-1.1457384260077226,-0.1152483045846486,0.2912901372449035,0.3860777080334345,-0.7019560901742241,-0.2601710936466234,-0.1523687651282869,-1.1502878603182345,0.1225221277946436,0.303540766871905,-0.3889726968214262,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19403106119349733], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.1729538558086437], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.19403106119349736], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17295385580864375], [0.0, 0.0, 0.0, 1.0]]","[[-0.04262922169178823, 0.010075427613207268, -0.9990401569588501, 0.5544092045863666], [-0.003068155847746628, 0.9999431138539978, 0.010215452788050382, 0.2863559225747896], [0.9990862504697213, 0.0035006877012908, -0.04259588369750905, -0.08088906712223998], [0.0, 0.0, 0.0, 1.0]]","[[-0.04159952224315033, -0.011621408003196925, -0.9990667758589337, 0.5545481183342923], [0.002339031552780307, 0.9999284792395723, -0.011728825049048725, -0.2865090670739614], [0.9991316273046994, -0.0028247622305824574, -0.04156936417367885, -0.07598391789238951], [0.0, 0.0, 0.0, 1.0]]"
0.0159487724304199,-0.6945204107384924,0.2567787423302197,0.1496634738460774,-1.1456463211461116,-0.1143030906834196,0.2912272078048682,0.3856484623236099,-0.7017601791181072,-0.2599291301597009,-0.1521728540721699,-1.1501380644346542,0.1220666492059717,0.3034725757736625,-0.3887535222557827,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19403106119349733], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.1729538558086437], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.19403106119349736], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17295385580864375], [0.0, 0.0, 0.0, 1.0]]","[[-0.04269106152598634, 0.009361443338310172, -0.9990444617955739, 0.5544085435365611], [-0.0031892339950444428, 0.9999497291338411, 0.009506208060128944, 0.286372181223017], [0.9990832307932654, 0.0035920166732931157, -0.04265905957600902, -0.08102183517650466], [0.0, 0.0, 0.0, 1.0]]","[[-0.04136738924415834, -0.011419097484551407, -0.9990787473066178, 0.5545576117929274], [0.002387437172597132, 0.9999307038739487, -0.011527688141896714, -0.286440642361687], [0.999141150814473, -0.0028621081021227048, -0.041337260266526676, -0.07619048957378538], [0.0, 0.0, 0.0, 1.0]]"
0.0199549198150634,-0.6943936724411804,0.2566520040329078,0.1495137720750942,-1.145542546322471,-0.1137238381955252,0.2912363807273255,0.3853646917467916,-0.7015412732174531,-0.2596640463447788,-0.1519424036929489,-1.1499536664862386,0.1214740561187103,0.3033959795337826,-0.388488337172011,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.192525921041716], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.1717284481682125], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.192525921041716], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.1717284481682125], [0.0, 0.0, 0.0, 1.0]]","[[-0.04258933598166936, 0.008948157529934539, -0.9990525906765169, 0.5544137638046746], [-0.003319899239770277, 0.9999531035119908, 0.009097749489609267, 0.2863611215986391], [0.9990871467142786, 0.003704221045967525, -0.04255763171000426, -0.08114848624668794], [0.0, 0.0, 0.0, 1.0]]","[[-0.041120579721242334, -0.011118011838650833, -0.9990923319374166, 0.5545699221392735], [0.0024464824315384576, 0.9999339704055445, -0.011228069857114432, -0.2863724217010529], [0.9991511960895115, -0.0029059665792448295, -0.04109066452540272, -0.07642408872411706], [0.0, 0.0, 0.0, 1.0]]"
0.0239126682281494,-0.6942323007081674,0.2564676688262235,0.1493407931217829,-1.145438834240562,-0.1135576434610626,0.2906474994319483,0.3853559607410412,-0.7012646449239639,-0.2593413656204842,-0.1517694874813689,-1.1498269281889266,0.1209956936940511,0.3031001212908995,-0.3883550550403198,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19103066993834622], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17048124311450263], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.192525921041716], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.1717284481682125], [0.0, 0.0, 0.0, 1.0]]","[[-0.04283388059659782, 0.009174425096985775, -0.9990400835788203, 0.5544155906117603], [-0.003268538654890092, 0.9999511986173815, 0.009322930801194826, 0.2862659687110778], [0.9990768615717701, 0.003664738435710726, -0.04280180328093591, -0.08126848487290843], [0.0, 0.0, 0.0, 1.0]]","[[-0.04103437458553111, -0.011007958389602135, -0.9990970948583862, 0.5545700605342564], [0.0023411081056519192, 0.999935504267685, -0.011113348629835474, -0.2862814852495928], [0.9991549926388859, -0.0027950236176825204, -0.04100595722287942, -0.07665804984844798], [0.0, 0.0, 0.0, 1.0]]"
0.0279741287231445,-0.6940709603460202,0.2563063284640762,0.1492025103459039,-1.1453695673691595,-0.1134875228106281,0.2902867391904173,0.3853475333897371,-0.701114817669518,-0.2591454859352329,-0.1515620946884162,-1.1496656505685108,0.1208129126524949,0.3029558167728761,-0.3882940583247251,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19103066993834622], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17048124311450263], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.1910306699383462], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17048124311450263], [0.0, 0.0, 0.0, 1.0]]","[[-0.042883041018928314, 0.009373825169397106, -0.9990361235684438, 0.55441339873605], [-0.0032445580630915483, 0.999949404088212, 0.009521665117269274, 0.2861861085633348], [0.9990748308489933, 0.0036497486658360755, -0.04285045739233234, -0.08139200283380144], [0.0, 0.0, 0.0, 1.0]]","[[-0.04081631835321364, -0.011064733672592083, -0.9991053997576252, 0.5545835138893854], [0.0023460892211321265, 0.9999348639956577, -0.011169764158309604, -0.28619537829911584], [0.9991639124895654, -0.0027998990589621483, -0.04078770088892003, -0.07683859294838503], [0.0, 0.0, 0.0, 1.0]]"
0.0319762229919433,-0.6938865937684702,0.2560988729293922,0.1489835417035185,-1.1453350594169214,-0.1128407187201243,0.2896486355259055,0.3850603854195504,-0.7009074876182967,-0.2588688890126094,-0.1514007229554032,-1.1495503312663031,0.1202889433341686,0.3028005488256918,-0.3880079371122087,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.19103066993834622], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17048124311450263], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.1910306699383462], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.17048124311450263], [0.0, 0.0, 0.0, 1.0]]","[[-0.04336868154583701, 0.009247980171621057, -0.9990163323608483, 0.5544076500184876], [-0.003355769157033838, 0.9999501665109647, 0.009402303337942342, 0.286102558244175], [0.9990535002062404, 0.003760233694770184, -0.043335486246496135, -0.0814891501857431], [0.0, 0.0, 0.0, 1.0]]","[[-0.040712054527688835, -0.010840756033768568, -0.9991121091372835, 0.5545876946646687], [0.0023971624256661737, 0.9999372021741288, -0.010947388751687524, -0.2861234270376688], [0.9991680450396919, -0.002840724694846486, -0.0406835108461478, -0.07703258781275506], [0.0, 0.0, 0.0, 1.0]]"
0.0359485149383544,-0.6936906827123532,0.2558569094424697,0.1487530913242975,-1.1452659807707133,-0.1124407814652593,0.2896699836098186,0.3848968708381087,-0.7006769744973442,-0.2585462710300462,-0.1509974191063335,-1.149331362623918,0.1194690727483258,0.3026775997693394,-0.3875342022212623,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.18954556515781176], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.16921306646128115], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.1895455651578118], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.16921306646128115], [0.0, 0.0, 0.0, 1.0]]","[[-0.043097239515067665, 0.009110005096509697, -0.9990293467928372, 0.55440839360858], [-0.003400762484349238, 0.9999512950146034, 0.009265118085751041, 0.286011230520967], [0.9990650943560716, 0.003796762536614002, -0.04306415950108183, -0.0816830799161071], [0.0, 0.0, 0.0, 1.0]]","[[-0.04047537886556141, -0.010483894004802726, -0.9991255334902543, 0.5546086165044097], [0.0026662832523169627, 0.9999402588459136, -0.010600456253657839, -0.286003979832134], [0.9991769786375723, -0.0030930091599219276, -0.04044500778871196, -0.07730508583750406], [0.0, 0.0, 0.0, 1.0]]"
0.0400612354278564,-0.6934487192254308,0.2555687680412792,0.1485341226819121,-1.1453004887229516,-0.1119924724373837,0.2897299908691318,0.3846861964264443,-0.7005040582857642,-0.2583043389139894,-0.1507784190930824,-1.1492046556974715,0.1182322085063905,0.3021305096162432,-0.3867452773360449,"[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, 0.18954556515781176], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.16921306646128115], [0.0, 0.0, 0.0, 1.0]]","[[3.3306690738754696e-16, -0.0, -1.0000000000000002, 0.55], [0.0, 1.0, -0.0, -0.1895455651578118], [1.0000000000000002, 0.0, 3.3306690738754696e-16, -0.16921306646128115], [0.0, 0.0, 0.0, 1.0]]","[[-0.042850794172631435, 0.008957617235867278, -0.9990413257379449, 0.5543956238817789], [-0.0034553750237228294, 0.9999524966143358, 0.009113994634732716, 0.2859037831280292], [0.9990755075679818, 0.0038426043528052363, -0.042817806687960924, -0.0818764906094007], [0.0, 0.0, 0.0, 1.0]]","[[-0.04100674931930082, -0.009786739173767002, -0.9991109379076023, 0.5546156681935542], [0.003058782740936891, 0.9999461126846702, -0.009920462436838544, -0.2859724951320577], [0.9991541874797943, -0.003462869209432022, -0.04097460406679476, -0.07742222143664984], [0.0, 0.0, 0.0, 1.0]]"
