time,l_q0,l_q1,l_q2,l_q3,l_q4,l_q5,l_q6,r_q0,r_q1,r_q2,r_q3,r_q4,r_q5,r_q6,l_pose,l_real_pose,r_pose,r_real_pose
0.0,-4.093219244580514,-3.658434161453243,-10.752145263136603,-113.43020830120903,-16.854313107254157,11.429651363704032,29.393213659151293,-0.5938607225053963,21.11830629099203,-4.74127399633367,-112.43811649407552,10.514453826246513,29.274084914742517,-17.72494878301922,"[[0.01937095165747499, 0.6483109991097087, -0.7611291708148202, 0.3357963263988495], [0.24347543090594875, 0.7352955597083592, 0.6325030864891757, 0.07852127403020859], [0.9697136076064143, -0.19756843955081135, -0.1436044251282358, -0.14395689964294434], [0.0, 0.0, 0.0, 1.0]]","[[0.0006112590307296162, 0.6602419677604303, -0.751052708117235, 0.33125535917506244], [0.23917349801559956, 0.7291583931947638, 0.6411895784248312, 0.07149818209881639], [0.9709766548220301, -0.18002383631471003, -0.15746667631329214, -0.14111490527577805], [0.0, 0.0, 0.0, 1.0]]",,"[[0.1639002919729597, -0.19373421116437067, -0.9672661214555681, 0.3524233366627445], [-0.28902853548116647, 0.9280648810950745, -0.23485757845042543, -0.135298204284079], [0.943185665693023, 0.3180607361849379, 0.09611538965589567, -0.1809811862717423], [0.0, 0.0, 0.0, 1.0]]"
0.021892786026000977,-4.049366868788093,-3.5541183898069306,-10.3979751952357,-113.29033285719635,-16.70882154019642,11.647602700119139,29.37102920472709,-0.4970200592971341,20.866460140820735,-4.982554270745778,-112.6780063981047,8.605999934401986,28.653275360701716,-15.919174832514786,"[[0.01937095165747499, 0.6483109991097087, -0.7611291708148202, 0.3357963263988495], [0.24347543090594875, 0.7352955597083592, 0.6325030864891757, 0.07852127403020859], [0.9697136076064143, -0.19756843955081135, -0.1436044251282358, -0.14395689964294434], [0.0, 0.0, 0.0, 1.0]]","[[0.002448610697814435, 0.6502555365878796, -0.759711617288073, 0.3331286744722284], [0.23695086823910438, 0.737701072298303, 0.6321798905142973, 0.07455100059350453], [0.9715185486373307, -0.18156228977059952, -0.152272271234364, -0.14225282945587173], [0.0, 0.0, 0.0, 1.0]]","[[0.13582228414482939, -0.17070020074207193, -0.9759168758640757, 0.3520894944667816], [-0.2809770276370275, 0.9379633995410936, -0.2031663630170507, -0.14537055790424347], [0.950054849506039, 0.30180474248747535, 0.07943349634836933, -0.17818951606750488], [0.0, 0.0, 0.0, 1.0]]","[[0.1508702818094757, -0.182266547231635, -0.9716054054126027, 0.35241281121587337], [-0.28458301926093893, 0.9332404888102905, -0.21925942441194757, -0.13943901226612765], [0.9467051617135389, 0.3095821309529809, 0.08892829122137613, -0.17980238776010618], [0.0, 0.0, 0.0, 1.0]]"
0.04623842239379883,-4.082807048077652,-3.415951346860389,-9.947211738318831,-113.05704091590539,-17.14570263762524,11.634857567127895,30.09209227540534,-0.03768330757940411,20.228665613861406,-6.485379876369351,-113.44306271722701,9.213675888442495,27.333151765847283,-16.827508029856443,"[[0.02813009304311548, 0.6451666369605558, -0.7635238754737093, 0.3374553322792053], [0.2445493005037525, 0.7361735875843476, 0.6310658353661021, 0.08117403090000153], [0.969228733317637, -0.20447117033018966, -0.13706641826243054, -0.14501094818115234], [0.0, 0.0, 0.0, 1.0]]","[[0.011480219850457385, 0.6486512278098666, -0.7609992044758905, 0.33464423881207594], [0.2401728360535535, 0.7369818496194649, 0.6318027873897566, 0.07683441122552247], [0.9706622550476446, -0.19002457207483883, -0.147327691333287, -0.14321084025475517], [0.0, 0.0, 0.0, 1.0]]","[[0.13582228414482939, -0.17070020074207193, -0.9759168758640757, 0.3520894944667816], [-0.2809770276370275, 0.9379633995410936, -0.2031663630170507, -0.14537055790424347], [0.950054849506039, 0.30180474248747535, 0.07943349634836933, -0.17818951606750488], [0.0, 0.0, 0.0, 1.0]]","[[0.12690102625965088, -0.1784599833020756, -0.9757295546892442, 0.351131819534665], [-0.29863939354874797, 0.9311664170640741, -0.20914974624151733, -0.14933191654432826], [0.9458914536854024, 0.31793259991997985, 0.06487079275790147, -0.1768738853925637], [0.0, 0.0, 0.0, 1.0]]"
0.06572341918945312,-4.1278581220694095,-3.1739786620211703,-9.316891999632436,-112.72788043942414,-17.6703345904158,11.634342741619205,30.956920582828598,0.22904831274311488,20.139091097991273,-7.522957328280573,-113.73430881362552,10.912270510491089,26.19872906169445,-18.794887671217964,"[[0.02813009304311548, 0.6451666369605558, -0.7635238754737093, 0.3374553322792053], [0.2445493005037525, 0.7361735875843476, 0.6310658353661021, 0.08117403090000153], [0.969228733317637, -0.20447117033018966, -0.13706641826243054, -0.14501094818115234], [0.0, 0.0, 0.0, 1.0]]","[[0.0202595318994942, 0.6468279472260086, -0.7623668133219081, 0.3361286634374767], [0.24249271120305355, 0.7365759348641931, 0.6313898773280517, 0.07912703927767616], [0.9699416664834055, -0.1976600588544071, -0.1419283789559596, -0.1441458063025046], [0.0, 0.0, 0.0, 1.0]]","[[0.12019995180804544, -0.18036379647623813, -0.9762278793939567, 0.35062161087989807], [-0.3066089539888935, 0.9285378456886708, -0.20930460687160862, -0.15220236778259277], [0.944215505549014, 0.324478612614946, 0.05630904932867953, -0.176055908203125], [0.0, 0.0, 0.0, 1.0]]","[[0.11791333163185236, -0.18697812674081837, -0.9752618245086657, 0.35035873662904427], [-0.3169819316545859, 0.9236462318029423, -0.21540680927202188, -0.15286644223175216], [0.9410732709135907, 0.33453971153918366, 0.04964151664963046, -0.17557840819553752], [0.0, 0.0, 0.0, 1.0]]"
0.0857236385345459,-4.122395678280692,-3.034570018749567,-8.882095817447764,-112.50710140469265,-17.73589586871146,11.675123239832413,31.126380991231198,0.3556707084863218,19.995675908441225,-8.125069239468463,-113.90336965596167,12.007227527845941,25.589290065074433,-20.12732951224051,"[[0.02654715802019708, 0.6413319994360371, -0.7668040916038631, 0.3384799361228943], [0.24297830265117493, 0.7399303212292092, 0.6272676176612288, 0.08295803517103195], [0.9696683932364739, -0.2029689292108879, -0.13618671349724554, -0.1455627679824829], [0.0, 0.0, 0.0, 1.0]]","[[0.025138836786231467, 0.6425608029401004, -0.7658222074411325, 0.33795671155412244], [0.24287134187105824, 0.7391868334363698, 0.6281849541114976, 0.08210159879599102], [0.9697327210024353, -0.20178810618885898, -0.13747730728351854, -0.14524278568253576], [0.0, 0.0, 0.0, 1.0]]","[[0.12019995180804544, -0.18036379647623813, -0.9762278793939567, 0.35062161087989807], [-0.3066089539888935, 0.9285378456886708, -0.20930460687160862, -0.15220236778259277], [0.944215505549014, 0.324478612614946, 0.05630904932867953, -0.176055908203125], [0.0, 0.0, 0.0, 1.0]]","[[0.11062382941911736, -0.19760550698199592, -0.9740197287401517, 0.34954261977658313], [-0.3357320489868058, 0.914994468033506, -0.2237612896620021, -0.15694095248719178], [0.93543912663934, 0.35176297002167484, 0.03487769020103265, -0.1740025245804103], [0.0, 0.0, 0.0, 1.0]]"
0.10559344291687012,-4.068824370186166,-3.0077301500757674,-8.628865700195895,-112.4373446826993,-17.20751755716115,12.031561784311405,30.63250025763133,0.44805752806678034,19.582135274953632,-9.031775144240362,-114.2609163986335,13.45344068364704,25.283552014804442,-21.849612937878003,"[[0.02654715802019708, 0.6413319994360371, -0.7668040916038631, 0.3384799361228943], [0.24297830265117493, 0.7399303212292092, 0.6272676176612288, 0.08295803517103195], [0.9696683932364739, -0.2029689292108879, -0.13618671349724554, -0.1455627679824829], [0.0, 0.0, 0.0, 1.0]]","[[0.020701946690732054, 0.6267632356564212, -0.7789347057569763, 0.339999593526386], [0.23547129607890616, 0.754128220006097, 0.6130610870976526, 0.0855534235462728], [0.9716607937578495, -0.19610832266869452, -0.1319728292260836, -0.14627074165268245], [0.0, 0.0, 0.0, 1.0]]","[[0.1097919493691566, -0.1946108672894405, -0.9747165424812347, 0.349708616733551], [-0.3334354001160576, 0.9166083971248749, -0.22056717858650837, -0.1560955047607422], [0.9363581375751298, 0.3492215008458383, 0.03574607032689037, -0.1745138168334961], [0.0, 0.0, 0.0, 1.0]]","[[0.10830706814955082, -0.19551437519148723, -0.9747018559961458, 0.34898233670002365], [-0.33842826828442957, 0.9146541185064481, -0.22107498891822877, -0.16252064558834353], [0.9347384052315659, 0.3538106451093228, 0.03289591452557794, -0.17205046593558102], [0.0, 0.0, 0.0, 1.0]]"
0.12430047988891602,-4.033642492658254,-2.981788664721236,-8.375672295210816,-112.38501860346784,-16.793367329290135,12.56148969502966,30.373420937128994,0.42714068738342453,19.257214638399663,-9.440097513202064,-114.605875102665,13.133429245559018,25.812355505630585,-21.622481827218397,"[[0.02220907008191486, 0.6317020783385634, -0.7748930516070177, 0.33959105610847473], [0.2379233990471221, 0.7494761045646015, 0.6178009589443306, 0.08485277742147446], [0.9710299755372954, -0.19808597353020752, -0.13365153833244664, -0.1460634469985962], [0.0, 0.0, 0.0, 1.0]]","[[0.02167155220179856, 0.614714377539316, -0.7884520136771904, 0.3413606280519247], [0.23028347781835734, 0.7643621591423526, 0.6022624091831761, 0.08783996214175838], [0.9728822455307977, -0.19461943304226462, -0.1249936502917674, -0.14710795194874554], [0.0, 0.0, 0.0, 1.0]]","[[0.1097919493691566, -0.1946108672894405, -0.9747165424812347, 0.349708616733551], [-0.3334354001160576, 0.9166083971248749, -0.22056717858650837, -0.1560955047607422], [0.9363581375751298, 0.3492215008458383, 0.03574607032689037, -0.1745138168334961], [0.0, 0.0, 0.0, 1.0]]","[[0.10595842021164725, -0.18445145854212328, -0.9771133366339525, 0.3488213910908261], [-0.3316967750029449, 0.9198064516897619, -0.20960281697185196, -0.16624026835908737], [0.9374166963730154, 0.3463145259320974, 0.03627928457851637, -0.17086783271080852], [0.0, 0.0, 0.0, 1.0]]"
0.14498329162597656,-4.019138585955732,-2.989403898758977,-8.282710005512357,-112.36919305516092,-16.671509924307937,12.73672417460186,30.276681552819518,0.4206868523088501,19.115129628190473,-9.599827463358336,-114.74754688642939,12.99607243380277,26.028283398504076,-21.53437750956711,"[[0.02220907008191486, 0.6317020783385634, -0.7748930516070177, 0.33959105610847473], [0.2379233990471221, 0.7494761045646015, 0.6178009589443306, 0.08485277742147446], [0.9710299755372954, -0.19808597353020752, -0.13365153833244664, -0.1460634469985962], [0.0, 0.0, 0.0, 1.0]]","[[0.0219234748352658, 0.6116297373879683, -0.7908403287604095, 0.3416992443002615], [0.22896454319331425, 0.76693462410205, 0.5994885489429504, 0.0884246344675518], [0.9731878540196772, -0.19421726673025835, -0.1232276514926876, -0.1473185238983093], [0.0, 0.0, 0.0, 1.0]]","[[0.10630143455411756, -0.20497528169244433, -0.9729774606365967, 0.3490334451198578], [-0.34795452231446805, 0.9089846515287368, -0.2295093760308969, -0.15974387526512146], [0.9314653270050622, 0.3629490834542558, 0.025304296217611322, -0.17296266555786133], [0.0, 0.0, 0.0, 1.0]]","[[0.09831459063948855, -0.17212700792590702, -0.9801563826297641, 0.3487951549265186], [-0.32433871398603586, 0.9256068753127542, -0.19508026805303516, -0.1683986698279596], [0.940818069489141, 0.33708189734281846, 0.03517320864651663, -0.1702390792144953], [0.0, 0.0, 0.0, 1.0]]"
0.16483402252197266,-4.045613252952347,-2.9757723352795127,-7.957202826463412,-112.32832120316756,-16.539895594096375,13.712812848510044,30.495397870421666,0.4732823771669895,19.0200294892818,-9.724579161001326,-114.96063512815546,11.696538444201341,26.077394166183762,-20.2627414276306,"[[0.018382179586970193, 0.6191861983860866, -0.7850290104205184, 0.3407731354236603], [0.23179210701161249, 0.761131593239104, 0.6057649023345778, 0.08691775798797607], [0.9725916484325525, -0.1930988076128107, -0.1295312159201833, -0.14665496349334717], [0.0, 0.0, 0.0, 1.0]]","[[0.03177127831388743, 0.5997863505163855, -0.7995291862143228, 0.343134598138397], [0.2248279523305465, 0.7751439052387414, 0.5904272334691945, 0.09060658392451656], [0.973880371362497, -0.19851513772372278, -0.11022142427575676, -0.14840322722713947], [0.0, 0.0, 0.0, 1.0]]","[[0.10630143455411756, -0.20497528169244433, -0.9729774606365967, 0.3490334451198578], [-0.34795452231446805, 0.9089846515287368, -0.2295093760308969, -0.15974387526512146], [0.9314653270050622, 0.3629490834542558, 0.025304296217611322, -0.17296266555786133], [0.0, 0.0, 0.0, 1.0]]","[[0.09374496600399568, -0.16487124793914804, -0.9818499645831322, 0.3487667689024539], [-0.31997075259285, 0.9288843981874713, -0.18652745719883973, -0.16961583317283474], [0.9427781281054812, 0.33164928223484486, 0.034324259045714844, -0.1698720492367058], [0.0, 0.0, 0.0, 1.0]]"
0.18507170677185059,-4.055194300810583,-3.08807537282992,-7.66277898455355,-112.29149965335202,-16.103673609922463,14.573029924469898,30.5505789687262,0.5779509174117623,18.975064646428315,-9.88373708281461,-115.11843981873943,10.92540837935961,25.754780426021963,-19.523914742468442,"[[0.018382179586970193, 0.6191861983860866, -0.7850290104205184, 0.3407731354236603], [0.23179210701161249, 0.761131593239104, 0.6057649023345778, 0.08691775798797607], [0.9725916484325525, -0.1930988076128107, -0.1295312159201833, -0.14665496349334717], [0.0, 0.0, 0.0, 1.0]]","[[0.04104983447512389, 0.5828778946763449, -0.8115221937736744, 0.344859481058219], [0.22353351281155348, 0.7862622554008722, 0.5760420422000994, 0.09311416503282621], [0.9738314431870089, -0.205048837181794, -0.09801680789896272, -0.14942297576049732], [0.0, 0.0, 0.0, 1.0]]","[[0.1097617617376197, -0.20221932279266608, -0.9731699240880443, 0.34876203536987305], [-0.34387848671834376, 0.9108973889885876, -0.22806475638746948, -0.16316482424736023], [0.9325770434835698, 0.35968499026655176, 0.030442827470434974, -0.17172646522521973], [0.0, 0.0, 0.0, 1.0]]","[[0.07824302661390758, -0.15035101038986443, -0.9855316344293785, 0.348411997550026], [-0.31289653603056206, 0.934906338674068, -0.1674690886316756, -0.17283075808701373], [0.9465589186766825, 0.32147272292030576, 0.02610559119870237, -0.16874537958620028], [0.0, 0.0, 0.0, 1.0]]"
